Community_Area_Number,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16+_UNEMPLOYED,PERCENT_AGED_25+_WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED UNDER_18_OR_OVER_64,PER_CAPITA_INCOME ,HARDSHIP_INDEX
1,7.7,23.6,8.7,18.2,27.5,23939,39
2,7.8,17.2,8.8,20.8,38.5,23040,46
3,3.8,24,8.9,11.8,22.2,35787,20
4,3.4,10.9,8.2,13.4,25.5,37524,17
5,0.3,7.5,5.2,4.5,26.2,57123,6
6,1.1,11.4,4.7,2.6,17,60058,5
7,0.8,12.3,5.1,3.6,21.5,71551,2
8,1.9,12.9,7,2.5,22.6,88669,1
9,1.1,3.3,6.5,7.4,35.3,40959,8
10,2,5.4,9,11.5,39.5,32875,21
